epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.27135,3.16033,4.47593,4.27717,0.00174,0.12731,0.00436,0.00057,2.69747,4.5011,4.15646,0.0001125,0.0001125,0.0001125
2,13.2999,3.07519,4.39511,4.20212,0.00173,0.12731,0.00688,0.00089,2.69241,4.49791,4.15441,0.000236324,0.000236324,0.000236324
3,17.9646,3.14229,4.30883,4.09838,0.0021,0.15741,0.00431,0.00064,2.69045,4.49446,4.15499,0.000358911,0.000358911,0.000358911
4,22.6425,2.98553,4.18564,3.98159,0.00225,0.16898,0.0108,0.00123,2.69793,4.49193,4.16369,0.000480261,0.000480261,0.000480261
5,27.3109,2.93247,3.98083,3.86471,0.00224,0.17014,0.01142,0.00165,2.69293,4.48877,4.16823,0.000600373,0.000600373,0.000600373
6,32.5519,2.87007,3.78891,3.72112,0.00263,0.20139,0.01082,0.00187,2.68814,4.4862,4.18393,0.000719247,0.000719247,0.000719247
7,37.2974,2.88862,3.66657,3.66911,0.00217,0.1713,0.02339,0.00321,2.57613,4.47905,4.08705,0.000836884,0.000836884,0.000836884
8,42.1049,2.80243,3.5081,3.56548,0.00295,0.24769,0.01808,0.00412,2.41206,4.46818,3.90132,0.000953283,0.000953283,0.000953283
9,46.9089,2.80427,3.56018,3.51203,0.00305,0.30671,0.05345,0.01509,2.28869,4.39644,3.66669,0.00106844,0.00106844,0.00106844
10,51.6761,2.74691,3.38152,3.38173,0.00291,0.45255,0.05048,0.01135,2.18978,4.05859,3.0536,0.00118237,0.00118237,0.00118237
11,56.4208,2.59156,3.20877,3.33732,0.00372,0.54514,0.03901,0.01049,2.16535,3.9716,3.08673,0.00118812,0.00118812,0.00118812
12,61.179,2.57325,3.11694,3.26028,0.00498,0.95255,0.32312,0.14233,2.22575,3.84297,3.16922,0.00118194,0.00118194,0.00118194
13,65.8851,2.54837,3.12006,3.22284,0.00526,0.79398,0.24055,0.10434,2.20048,3.82508,3.34039,0.00117575,0.00117575,0.00117575
14,70.6595,2.46058,3.12639,3.12944,0.79998,0.17708,0.15301,0.05396,2.26959,3.74462,3.2532,0.00116956,0.00116956,0.00116956
15,75.5199,2.37774,2.97543,3.00276,0.55953,0.29167,0.10388,0.03819,2.43945,6.18109,3.35679,0.00116337,0.00116337,0.00116337
16,80.1752,2.3079,2.87668,2.96017,0.30363,0.31829,0.28085,0.11755,2.12912,3.39761,3.1325,0.00115719,0.00115719,0.00115719
17,84.8335,2.23798,2.86869,2.94218,0.49346,0.45894,0.42474,0.25554,2.00883,3.15942,2.8722,0.001151,0.001151,0.001151
18,89.4571,2.20458,2.67014,2.82181,0.28226,0.21875,0.0511,0.01968,2.2698,3.86545,3.34307,0.00114481,0.00114481,0.00114481
19,94.1049,2.13257,2.70564,2.76292,0.57078,0.16667,0.08523,0.02196,2.40058,3.86253,3.57465,0.00113863,0.00113863,0.00113863
20,98.962,2.1699,2.63138,2.78245,0.62831,0.23727,0.15507,0.06459,2.10146,3.386,3.08729,0.00113244,0.00113244,0.00113244
21,103.585,2.08729,2.64912,2.68526,0.55114,0.01968,0.01601,0.00628,2.65112,4.0451,4.77445,0.00112625,0.00112625,0.00112625
22,108.265,2.17079,2.60542,2.64614,0.00099,0.14468,0.00282,0.00064,3.11862,4.56237,4.76138,0.00112006,0.00112006,0.00112006
23,112.971,2.01015,2.62702,2.60417,0.62541,0.07986,0.08991,0.04235,2.22375,3.85073,3.34153,0.00111388,0.00111388,0.00111388
24,117.901,2.03149,2.50858,2.60347,0.23921,0.63737,0.45823,0.26696,1.74619,3.07426,2.62241,0.00110769,0.00110769,0.00110769
25,123.111,1.9708,2.43846,2.50764,0.28006,0.84362,0.60956,0.31539,1.75728,3.15719,2.44689,0.0011015,0.0011015,0.0011015
26,128.262,1.94382,2.44778,2.51065,0.7617,0.28819,0.48608,0.24009,1.78551,3.30092,2.50367,0.00109531,0.00109531,0.00109531
