epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9321,3.06963,4.49551,4.24931,0.00129,0.08216,0.00925,0.00101,2.87046,4.47577,4.15614,0.00015,0.00015,0.00015
2,23.2967,3.0498,4.38329,4.16664,0.00134,0.08874,0.00196,0.00039,2.86474,4.47388,4.1541,0.000310953,0.000310953,0.000310953
3,29.0493,3.00595,4.28413,4.02982,0.00177,0.12067,0.00413,0.00074,2.86494,4.47442,4.15832,0.000470298,0.000470298,0.000470298
4,34.7824,2.91531,3.97748,3.84914,0.00216,0.14795,0.00847,0.00122,2.84234,4.4761,4.15787,0.000628033,0.000628033,0.000628033
5,40.6259,2.83505,3.79773,3.71561,0.00258,0.1794,0.01041,0.00146,2.79988,4.47358,4.1219,0.00078416,0.00078416,0.00078416
6,46.547,2.765,3.55289,3.56194,0.00231,0.21085,0.03054,0.00759,2.56147,4.41872,3.70838,0.000938678,0.000938678,0.000938678
7,52.0889,2.68231,3.46661,3.48763,0.00325,0.30905,0.03827,0.01158,2.58682,4.41564,3.7292,0.00109159,0.00109159,0.00109159
8,57.7387,2.53255,3.26891,3.35313,0.00311,0.41415,0.07712,0.02388,2.46293,4.15008,3.35186,0.00120669,0.00120669,0.00120669
9,63.3911,2.60859,3.25631,3.29531,0.00344,0.37195,0.01442,0.00415,2.46809,4.21595,3.50817,0.0012005,0.0012005,0.0012005
10,68.9577,2.46727,3.11348,3.15495,0.25788,0.1165,0.01131,0.00196,2.97654,4.12128,4.31401,0.00119431,0.00119431,0.00119431
11,74.4486,2.42723,3.07542,3.11158,0.00275,0.28739,0.03617,0.00639,3.02139,4.25051,4.09027,0.00118812,0.00118812,0.00118812
12,79.9438,2.368,2.97529,3.02452,0.00431,0.75407,0.06694,0.02032,2.49822,3.93551,3.63265,0.00118194,0.00118194,0.00118194
13,85.48,2.30973,2.87864,2.98565,0.76532,0.1812,0.24894,0.1027,2.28195,3.2084,3.29158,0.00117575,0.00117575,0.00117575
14,90.9484,2.21302,2.75195,2.8761,0.82522,0.07202,0.1063,0.0303,2.48524,3.21675,3.66237,0.00116956,0.00116956,0.00116956
15,96.6025,2.17369,2.66462,2.81203,0.6193,0.1818,0.15292,0.03727,2.46394,2.95827,3.28044,0.00116337,0.00116337,0.00116337
16,102.382,2.157,2.6419,2.77268,0.54409,0.3788,0.57324,0.32253,2.0182,2.74597,2.77472,0.00115719,0.00115719,0.00115719
17,107.917,2.04649,2.53653,2.68933,0.66123,0.31405,0.25997,0.10073,2.28631,2.89468,3.08665,0.001151,0.001151,0.001151
18,113.461,2.05732,2.61125,2.69656,0.43671,0.54855,0.55949,0.32182,2.05304,2.60166,2.77819,0.00114481,0.00114481,0.00114481
19,118.982,2.01954,2.50641,2.6636,0.50846,0.46658,0.60416,0.37685,1.85364,2.40058,2.57411,0.00113863,0.00113863,0.00113863
20,124.705,1.9847,2.44442,2.61449,0.61273,0.57021,0.72402,0.44012,1.80767,2.40952,2.64668,0.00113244,0.00113244,0.00113244
21,130.354,1.89425,2.32081,2.53326,0.45966,0.74015,0.64678,0.40864,1.72139,2.36366,2.56546,0.00112625,0.00112625,0.00112625
